Dialogue,instrument,action,tissue,iat_triplet,label_prompt,generated_feedback
cinch it down,[NONE],[cinch down],[NONE],"('[NONE]', '[cinch down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cinch down], tissue: [NONE]

Feedback:
","Cinch down carefully, ensuring secure tissue handling."
wheres your other stitch,[stitch],[NONE],[NONE],"('[stitch]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [stitch], action: [NONE], tissue: [NONE]

Feedback:
",Position the stitch instrument for the next task.
yeah do one with that one,[NONE],[do one],[NONE],"('[NONE]', '[do one]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [do one], tissue: [NONE]

Feedback:
",Proceed with the next step in the procedure.
cinch it down,[NONE],[cinch down],[NONE],"('[NONE]', '[cinch down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cinch down], tissue: [NONE]

Feedback:
","Cinch down carefully, ensuring secure control."
cinch that down cinch the yellow down,[NONE],[cinch down],[NONE],"('[NONE]', '[cinch down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cinch down], tissue: [NONE]

Feedback:
","Cinch down carefully, ensuring secure placement."
you got to grab,[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
grab,[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
yup just give yourself enough length to tie,[NONE],[give yourself enough length],[NONE],"('[NONE]', '[give yourself enough length]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [give yourself enough length], tissue: [NONE]

Feedback:
",Ensure you have sufficient length for optimal maneuverability.
Before you tie  I just want to make sure the urethra goes in because that last throw,[NONE],"[before you tie, make sure]",[urethra],"('[NONE]', '[before you tie, make sure]', '[urethra]')","IAT Triplet:
instrument: [NONE], action: [before you tie, make sure], tissue: [urethra]

Feedback:
",Ensure the urethra is properly aligned before you tie.
so before you tie lets make sure the catheter gets across,[catheter],"[before you tie, make sure]",[NONE],"('[catheter]', '[before you tie, make sure]', '[NONE]')","IAT Triplet:
instrument: [catheter], action: [before you tie, make sure], tissue: [NONE]

Feedback:
",Ensure the catheter is correctly positioned before you tie.
go ahead tie,[NONE],[tie],[NONE],"('[NONE]', '[tie]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [tie], tissue: [NONE]

Feedback:
",Ensure secure knot placement.
tie,[NONE],[tie],[NONE],"('[NONE]', '[tie]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [tie], tissue: [NONE]

Feedback:
",Ensure secure knot placement.
tighten it tighten it,[NONE],[tighten],[NONE],"('[NONE]', '[tighten]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [tighten], tissue: [NONE]

Feedback:
",Ensure secure tightening of the current component.
tighten it more thats not tight at all,[NONE],[tighten more],[NONE],"('[NONE]', '[tighten more]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [tighten more], tissue: [NONE]

Feedback:
",Ensure secure handling before proceeding.
find that flim flam,[NONE],[find],[NONE],"('[NONE]', '[find]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [find], tissue: [NONE]

Feedback:
",Identify the target tissue before proceeding.
stop for a second,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
what is your fourth arm doing rn,[4th arm],[NONE],[NONE],"('[4th arm]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [4th arm], action: [NONE], tissue: [NONE]

Feedback:
",Position the 4th arm for optimal access.
"I think you're hitting the pubic bone because he's flat so you re streamlining right towards it, so you have to move it down and then in",[NONE],"[move down, move in]",[pubic bone],"('[NONE]', '[move down, move in]', '[pubic bone]')","IAT Triplet:
instrument: [NONE], action: [move down, move in], tissue: [pubic bone]

Feedback:
",Move down and in towards the pubic bone.
you know how you were doing right-handed overhand try doing a left hand overhand move,"[left hand, right hand]",[try doing],[NONE],"('[left hand, right hand]', '[try doing]', '[NONE]')","IAT Triplet:
instrument: [left hand, right hand], action: [try doing], tissue: [NONE]

Feedback:
",Try doing the action with both hands.
"because when you do a left hand over move, your other instrument is ready so you can just grab the needle and pull it through so you will be more efficient with it","[left hand, needle]","[grab, pull]",[NONE],"('[left hand, needle]', '[grab, pull]', '[NONE]')","IAT Triplet:
instrument: [left hand, needle], action: [grab, pull], tissue: [NONE]

Feedback:
",Use the left hand to grab and pull the needle carefully.
and then you can cock your wrist and point your needle so it goes into the lumen,[needle],"[cock, point]",[NONE],"('[needle]', '[cock, point]', '[NONE]')","IAT Triplet:
instrument: [needle], action: [cock, point], tissue: [NONE]

Feedback:
",Cock the needle and point it accurately.
now use your other hand to push on the urethra,[NONE],"[use, push]",[urethra],"('[NONE]', '[use, push]', '[urethra]')","IAT Triplet:
instrument: [NONE], action: [use, push], tissue: [urethra]

Feedback:
",Push gently on the urethra.
now you're ready to grab it and just pull it through,[NONE],"[grab, pull]",[NONE],"('[NONE]', '[grab, pull]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab, pull], tissue: [NONE]

Feedback:
",Ensure secure grip before pulling.
I think you're going to need another stitch to reconstruct the bladder neck a bit unless you feel like you can get that,[stitch],[add stitch],[bladder neck],"('[stitch]', '[add stitch]', '[bladder neck]')","IAT Triplet:
instrument: [stitch], action: [add stitch], tissue: [bladder neck]

Feedback:
",Add a stitch to the bladder neck.
see that's the end of your barbs on both sutures,[sutures],[NONE],[NONE],"('[sutures]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [sutures], action: [NONE], tissue: [NONE]

Feedback:
",Prepare sutures for the next step.
"so you can tennis racket it and start at the top and run it not at the urethra, the bladder side and you run it towards the urethra",[NONE],"[start, run]","[urethra, bladder]","('[NONE]', '[start, run]', '[urethra, bladder]')","IAT Triplet:
instrument: [NONE], action: [start, run], tissue: [urethra, bladder]

Feedback:
",Begin running the procedure on the urethra and bladder.
"make sure you take ___ on the bladder and ___ on the urethra, (repeats)",[NONE],"[take, take]","[bladder, urethra]","('[NONE]', '[take, take]', '[bladder, urethra]')","IAT Triplet:
instrument: [NONE], action: [take, take], tissue: [bladder, urethra]

Feedback:
",Ensure precise handling of the bladder and urethra.
try turning your wrist the other way before you grab it,[NONE],[try turning],[NONE],"('[NONE]', '[try turning]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [try turning], tissue: [NONE]

Feedback:
",Try turning gently to maintain precision.
why is that strand loose,[stitches],[NONE],[NONE],"('[stitches]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [stitches], action: [NONE], tissue: [NONE]

Feedback:
",Ensure stitches are ready for the next step.
don't forget to remove the vesicles,[NONE],[remove],[vesicles],"('[NONE]', '[remove]', '[vesicles]')","IAT Triplet:
instrument: [NONE], action: [remove], tissue: [vesicles]

Feedback:
",Remove the vesicles carefully.
run them across,[NONE],[run across],[NONE],"('[NONE]', '[run across]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [run across], tissue: [NONE]

Feedback:
",Ensure controlled movement when running across the field.
after that you can defat the prostate and all that stuff,[NONE],[defat],[prostate],"('[NONE]', '[defat]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [defat], tissue: [prostate]

Feedback:
",Defat the prostate carefully.
how do we know we arent taking ureter or something like that,[NONE],[NONE],[ureter],"('[NONE]', '[NONE]', '[ureter]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [ureter]

Feedback:
",Focus on the ureter's position and integrity.
"Theres a bleeder on the bladder, just buzz it",[electrocautery],[buzz],"[vein, bladder]","('[electrocautery]', '[buzz]', '[vein, bladder]')","IAT Triplet:
instrument: [electrocautery], action: [buzz], tissue: [vein, bladder]

Feedback:
",Use electrocautery to buzz the vein and bladder carefully.
yeah just buzz that,[NONE],[buzz],[NONE],"('[NONE]', '[buzz]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [buzz], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before activating energy.
you can just touch it with your scissors,[scissors],[touch],[NONE],"('[scissors]', '[touch]', '[NONE]')","IAT Triplet:
instrument: [scissors], action: [touch], tissue: [NONE]

Feedback:
",Use scissors carefully to avoid unintended contact.
let me see for a second...you want to do the anterior bladder neck?,[NONE],[NONE],[bladder neck],"('[NONE]', '[NONE]', '[bladder neck]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bladder neck]

Feedback:
",Focus on the bladder neck for precise dissection.
"dont make multiple follows, make one solid follow",[NONE],[make one solid follow],[NONE],"('[NONE]', '[make one solid follow]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [make one solid follow], tissue: [NONE]

Feedback:
",Maintain steady control and ensure precise movements.
why dont you grab the bladder neck with your prograsp and give youself some tension,[prograsp],"[grab, give]",[bladder neck],"('[prograsp]', '[grab, give]', '[bladder neck]')","IAT Triplet:
instrument: [prograsp], action: [grab, give], tissue: [bladder neck]

Feedback:
",Use the prograsp to gently grab the bladder neck.
ok now stop,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
so after you make the first cut you can assess these things,[NONE],"[make first cut, assess these things]",[NONE],"('[NONE]', '[make first cut, assess these things]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [make first cut, assess these things], tissue: [NONE]

Feedback:
",Assess the area before making the first cut.
ok stop for a second,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
so the detrusor you see the fibers and when you burn it it has burnt grass appearance; prostate you see bubbling of prostate juice,[NONE],[NONE],"[detrusor fibers, prostate]","('[NONE]', '[NONE]', '[detrusor fibers, prostate]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [detrusor fibers, prostate]

Feedback:
",Focus on the detrusor fibers and prostate.
I would not lift it with that...stop for a second,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the current situation.
close the jaws,[NONE],[close],[NONE],"('[NONE]', '[close]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [close], tissue: [NONE]

Feedback:
",Ensure all instruments are clear before closing.
ok now stop for a second,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
go in right there,[NONE],[go in],[NONE],"('[NONE]', '[go in]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go in], tissue: [NONE]

Feedback:
",Proceed with caution as you advance.
so that way the risk of getting into the prostate is low,[NONE],[NONE],[prostate],"('[NONE]', '[NONE]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [prostate]

Feedback:
",Focus on the prostate for the next step.
your L hand is in your way so move it back a little bit,[left hand],[move back],[NONE],"('[left hand]', '[move back]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [move back], tissue: [NONE]

Feedback:
",Move the left hand back carefully.
stop for a second,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
"point your scissors down, dont air towards the prostate as much anymore this is where he is saying to go more vertical",[scissors],"[point down, avoid air towards, go more vertical]",[prostate],"('[scissors]', '[point down, avoid air towards, go more vertical]', '[prostate]')","IAT Triplet:
instrument: [scissors], action: [point down, avoid air towards, go more vertical], tissue: [prostate]

Feedback:
",Point scissors down and go more vertical on the prostate.
youre trying to get into the bladder now,[NONE],[NONE],[bladder],"('[NONE]', '[NONE]', '[bladder]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bladder]

Feedback:
",Focus on the bladder for the next step.
go wide,[NONE],[go wide],[NONE],"('[NONE]', '[go wide]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go wide], tissue: [NONE]

Feedback:
",Go wide with your view for better visualization.
you can open that because it becomes your grave right?,[NONE],[open],[NONE],"('[NONE]', '[open]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open], tissue: [NONE]

Feedback:
","Open carefully, ensuring clear visualization of the surgical field."
ok do the same thing on the other side,[NONE],[do the same thing],[NONE],"('[NONE]', '[do the same thing]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [do the same thing], tissue: [NONE]

Feedback:
",Continue with the current approach.
"so use your L hand more, youre not really retracting back a lot","[left hand, retractor]","[use more, retract back more]",[NONE],"('[left hand, retractor]', '[use more, retract back more]', '[NONE]')","IAT Triplet:
instrument: [left hand, retractor], action: [use more, retract back more], tissue: [NONE]

Feedback:
",Use the left hand retractor to retract back more.
"dont turn towards the bladder, stay midline",[NONE],"[don't turn, stay midline]",[bladder],"('[NONE]', ""[don't turn, stay midline]"", '[bladder]')","IAT Triplet:
instrument: [NONE], action: [don't turn, stay midline], tissue: [bladder]

Feedback:
",Maintain midline focus on the bladder.
"unbelievable good job, ok stop",[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Stop immediately and await further instructions.
turn it up a little toward 10 o clock,[NONE],[turn up],[NONE],"('[NONE]', '[turn up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [turn up], tissue: [NONE]

Feedback:
",Adjust the system settings as needed.
it really exposes the medial surface so you can find the SV,[NONE],[NONE],"[medial surface, Seminal Vesicles]","('[NONE]', '[NONE]', '[medial surface, Seminal Vesicles]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [medial surface, Seminal Vesicles]

Feedback:
",Focus on the medial surface of the seminal vesicles.
i wouldnt take the vas yet,[NONE],[NONE],[vas deferens],"('[NONE]', '[NONE]', '[vas deferens]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vas deferens]

Feedback:
",Focus on the vas deferens.
try and get under the SV first before you do that,[NONE],[get under],[Seminal Vesicles],"('[NONE]', '[get under]', '[Seminal Vesicles]')","IAT Triplet:
instrument: [NONE], action: [get under], tissue: [Seminal Vesicles]

Feedback:
",Get under the seminal vesicles carefully.
go a little higher then,[NONE],[go higher],[NONE],"('[NONE]', '[go higher]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go higher], tissue: [NONE]

Feedback:
",Adjust your position slightly higher.
and DVC suture is not gonna get it?,[suture],[NONE],[NONE],"('[suture]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [suture], action: [NONE], tissue: [NONE]

Feedback:
",Prepare the suture for the next step.
what are you thinking? one more bite across then tie it?,[NONE],"[take one more bite, tie]",[NONE],"('[NONE]', '[take one more bite, tie]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [take one more bite, tie], tissue: [NONE]

Feedback:
","Take one more bite, then tie securely."
"give it to her straight on, not like that",[NONE],[give],[NONE],"('[NONE]', '[give]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [give], tissue: [NONE]

Feedback:
",Clarify what needs to be given.
not like that..try to grab it...,[NONE],[try],[NONE],"('[NONE]', '[try]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [try], tissue: [NONE]

Feedback:
",Proceed with caution and verify your next steps.
pull on the blue one a little bit to make sure its tight,[NONE],[pull a little bit],[NONE],"('[NONE]', '[pull a little bit]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [pull a little bit], tissue: [NONE]

Feedback:
",Pull gently to maintain control.
this has been a long prostate,[NONE],[NONE],[prostate],"('[NONE]', '[NONE]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [prostate]

Feedback:
",Focus on the prostate for precise dissection.
use your fourth arm to...the other side,[fourth arm],[use],[NONE],"('[fourth arm]', '[use]', '[NONE]')","IAT Triplet:
instrument: [fourth arm], action: [use], tissue: [NONE]

Feedback:
",Activate the fourth arm for better control.
yeah pull it over to wherever you want it to go,[NONE],[pull],[NONE],"('[NONE]', '[pull]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [pull], tissue: [NONE]

Feedback:
",Ensure controlled movement while pulling.
yeah just leave your fourth arm there,[fourth arm],[leave],[NONE],"('[fourth arm]', '[leave]', '[NONE]')","IAT Triplet:
instrument: [fourth arm], action: [leave], tissue: [NONE]

Feedback:
",Secure the fourth arm in a safe position.
travel more,[NONE],[travel more],[NONE],"('[NONE]', '[travel more]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [travel more], tissue: [NONE]

Feedback:
",Continue advancing carefully.
this isnt like a strength suture,[suture],[NONE],[NONE],"('[suture]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [suture], action: [NONE], tissue: [NONE]

Feedback:
",Prepare the suture for the next step.
you can skip on that,[NONE],[skip],[NONE],"('[NONE]', '[skip]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [skip], tissue: [NONE]

Feedback:
",Proceed to the next step in the procedure.
just go to the other side...you dont really need to go all the way across,[NONE],"[""go to the other side""]",[NONE],"('[NONE]', '[""go to the other side""]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [""go to the other side""], tissue: [NONE]

Feedback:
",Reposition to the other side.
just break it,[NONE],[break],[NONE],"('[NONE]', '[break]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [break], tissue: [NONE]

Feedback:
",Clarify the action and tissue involved before proceeding.
Yeah you are going to take some of that stuff on the soaz off,[NONE],[take off],[NONE],"('[NONE]', '[take off]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [take off], tissue: [NONE]

Feedback:
",Clarify the action and tissue involved before proceeding.
Don't damage anything,[NONE],[Don't damage],[NONE],"('[NONE]', ""[Don't damage]"", '[NONE]')","IAT Triplet:
instrument: [NONE], action: [Don't damage], tissue: [NONE]

Feedback:
",Maintain awareness to avoid any unintended damage.
Try presenting at the other end,[NONE],[Present],[NONE],"('[NONE]', '[Present]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [Present], tissue: [NONE]

Feedback:
",Ensure the action is appropriate for the current surgical step.
yeah lift that up and now you can gently buzz and sweep the stuff off,"[buzz, sweep]","[lift, buzz, sweep]",[NONE],"('[buzz, sweep]', '[lift, buzz, sweep]', '[NONE]')","IAT Triplet:
instrument: [buzz, sweep], action: [lift, buzz, sweep], tissue: [NONE]

Feedback:
",Use the instrument to sweep gently.
more buzzing,[electrocautery],[NONE],[NONE],"('[electrocautery]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [NONE], tissue: [NONE]

Feedback:
",Position the electrocautery for precise application.
where is the ureter,[NONE],[NONE],[ureter],"('[NONE]', '[NONE]', '[ureter]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [ureter]

Feedback:
",Focus on the ureter.
lift it back up,[NONE],[lift],[NONE],"('[NONE]', '[lift]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [lift], tissue: [NONE]

Feedback:
",Ensure the field is clear before lifting.
"these little things that are tethering the vein up, you can buzz them or sweep them down",[energy device],"[buzz, sweep down]",[vein],"('[energy device]', '[buzz, sweep down]', '[vein]')","IAT Triplet:
instrument: [energy device], action: [buzz, sweep down], tissue: [vein]

Feedback:
",Use the energy device to buzz and sweep down on the vein carefully.
"you dont have to hook it, you can buzz it",[NONE],[buzz it],[NONE],"('[NONE]', '[buzz it]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [buzz it], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the action.
go in there...back in this corner,[NONE],"[go in, go back]",[NONE],"('[NONE]', '[go in, go back]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go in, go back], tissue: [NONE]

Feedback:
",Proceed with caution and maintain awareness of your surroundings.
what I would do is get the stuff up here and start releasing it that way,[NONE],"[get, start releasing]",[NONE],"('[NONE]', '[get, start releasing]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get, start releasing], tissue: [NONE]

Feedback:
",Start releasing gently.
"figure out where you are going to come across it, the artery is down so you aren't going to get into it",[NONE],[NONE],[artery],"('[NONE]', '[NONE]', '[artery]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [artery]

Feedback:
",Ensure the artery is clearly visualized and protected.
You can take the vas w you,[NONE],[NONE],[vas deferens],"('[NONE]', '[NONE]', '[vas deferens]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vas deferens]

Feedback:
",Focus on the vas deferens.
"why is your right hand fighting, why is it spastic",[right hand],[NONE],[NONE],"('[right hand]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [NONE], tissue: [NONE]

Feedback:
",Maintain awareness of your right hand's position.
"it is fighting something, i can see it fighting, oh stop",[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
Take this vessel before it....,[NONE],"[""Take""]",[vessel],"('[NONE]', '[""Take""]', '[vessel]')","IAT Triplet:
instrument: [NONE], action: [""Take""], tissue: [vessel]

Feedback:
",Take the vessel carefully.
figure out where the vein is going,[NONE],[figure out],[vein],"('[NONE]', '[figure out]', '[vein]')","IAT Triplet:
instrument: [NONE], action: [figure out], tissue: [vein]

Feedback:
",Identify the vein before proceeding.
Buzz this and sweep it down,[NONE],"[buzz, sweep down]",[NONE],"('[NONE]', '[buzz, sweep down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [buzz, sweep down], tissue: [NONE]

Feedback:
",Buzz and sweep down carefully.
"this is whats tethering the vein, see how its all wispy and everything here",[NONE],[NONE],[vein],"('[NONE]', '[NONE]', '[vein]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vein]

Feedback:
",Ensure the vein is not under tension.
See once you do that how the vein just pushes down...if youre on the plane thats right on top of the vein thats where you want to be,[NONE],[NONE],"[vein, plane]","('[NONE]', '[NONE]', '[vein, plane]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vein, plane]

Feedback:
",Maintain awareness of the vein and plane during the procedure.
all of these come down this..your arterys here and your veins here,[NONE],[NONE],"[arteries, veins]","('[NONE]', '[NONE]', '[arteries, veins]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [arteries, veins]

Feedback:
",Focus on identifying and preserving the arteries and veins.
yeah so you can go right through that,[NONE],[go right through],[NONE],"('[NONE]', '[go right through]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go right through], tissue: [NONE]

Feedback:
",Adjust your approach to avoid unintended tissue contact.
now regrab where my suction is,[suction],[regrab],[NONE],"('[suction]', '[regrab]', '[NONE]')","IAT Triplet:
instrument: [suction], action: [regrab], tissue: [NONE]

Feedback:
",Regrab with suction to maintain control.
and buzz right above the vein...dont buzz the vein but,[electrocautery],"[buzz right above, don't buzz]",[vein],"('[electrocautery]', ""[buzz right above, don't buzz]"", '[vein]')","IAT Triplet:
instrument: [electrocautery], action: [buzz right above, don't buzz], tissue: [vein]

Feedback:
",Avoid buzzing near the vein with the electrocautery.
The type of bleeding youre gonna run into when you get down there are...which is super annoying so its better to identify them and buzz them,[NONE],"[identify, buzz]",[NONE],"('[NONE]', '[identify, buzz]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [identify, buzz], tissue: [NONE]

Feedback:
",Identify and buzz the target area precisely.
yeah pre buzz it,[NONE],[pre buzz],[NONE],"('[NONE]', '[pre buzz]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [pre buzz], tissue: [NONE]

Feedback:
",Proceed with caution and ensure all systems are ready.
you can but the actual lymph... so you can take this off,[NONE],[take off],[NONE],"('[NONE]', '[take off]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [take off], tissue: [NONE]

Feedback:
",Clarify the action and tissue involved before proceeding.
"keep buzzing, dont hold back",[electrocautery],"[keep buzzing, don't hold back]",[NONE],"('[electrocautery]', ""[keep buzzing, don't hold back]"", '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [keep buzzing, don't hold back], tissue: [NONE]

Feedback:
",Continue using electrocautery; maintain steady buzzing.
remember the ureter is here,[NONE],[NONE],[ureter],"('[NONE]', '[NONE]', '[ureter]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [ureter]

Feedback:
",Focus on the ureter. Ensure clear visualization and avoid unnecessary manipulation.
I would buzz a little bit higher...dont buz ...,[NONE],[Buzz higher],[NONE],"('[NONE]', '[Buzz higher]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [Buzz higher], tissue: [NONE]

Feedback:
",Increase the buzz intensity as needed.
buzz,[electrocautery],[buzz],[NONE],"('[electrocautery]', '[buzz]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [buzz], tissue: [NONE]

Feedback:
",Use electrocautery to buzz when tissue is identified.
Grab closer,[NONE],[grab closer],[NONE],"('[NONE]', '[grab closer]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab closer], tissue: [NONE]

Feedback:
",Grab closer to improve precision.
and you can kind of do a little sweep to find out whats in there,[NONE],[sweep],[NONE],"('[NONE]', '[sweep]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [sweep], tissue: [NONE]

Feedback:
",Perform a gentle sweep to clear the area.
"now its thin you can just take it..this whole thing, just take it right there",[NONE],[take it],[NONE],"('[NONE]', '[take it]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [take it], tissue: [NONE]

Feedback:
",Clarify the action and specify the instrument and tissue involved.
yeah you can just lift it up and make sure,[NONE],"[lift, make sure]",[NONE],"('[NONE]', '[lift, make sure]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [lift, make sure], tissue: [NONE]

Feedback:
",Ensure proper technique while lifting.
"look where your ureter is just so you know where its going, so just back up and...",[NONE],"[look, back up]",[ureter],"('[NONE]', '[look, back up]', '[ureter]')","IAT Triplet:
instrument: [NONE], action: [look, back up], tissue: [ureter]

Feedback:
",Back up and look at the ureter.
...runs closer than you think it does..but I think you are okay so just lift that up,[NONE],[lift up],[NONE],"('[NONE]', '[lift up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [lift up], tissue: [NONE]

Feedback:
",Ensure proper visualization before lifting any tissue.
"ignore these sweep motions, thats a node right there",[NONE],[ignore these sweep motions],[node],"('[NONE]', '[ignore these sweep motions]', '[node]')","IAT Triplet:
instrument: [NONE], action: [ignore these sweep motions], tissue: [node]

Feedback:
",Ignore these sweep motions around the node.
"where is the ureter, I want to see the ureter",[NONE],[NONE],"[ureter, ureter]","('[NONE]', '[NONE]', '[ureter, ureter]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [ureter, ureter]

Feedback:
",Focus on the ureter. Ensure clear visualization and avoid unnecessary manipulation.
so march up laterally,[NONE],[march up laterally],[NONE],"('[NONE]', '[march up laterally]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [march up laterally], tissue: [NONE]

Feedback:
",March up laterally with precision.
buzz and sweep down,[electrocautery],"[buzz, sweep down]",[NONE],"('[electrocautery]', '[buzz, sweep down]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [buzz, sweep down], tissue: [NONE]

Feedback:
",Use electrocautery to buzz and sweep down carefully.
"sweep down, there you go",[NONE],[sweep down],[NONE],"('[NONE]', '[sweep down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [sweep down], tissue: [NONE]

Feedback:
",Ensure controlled movement while sweeping down.
